7687;42361
7687;18576
7687;50910
7687;13825
7687;51345
7687;40211
7687;2590
7687;2654
7687;4181
7687;9628
7687;4855
7687;25366
7687;3
7687;5188
7687;2378
7687;16859
7687;45665
7687;10121
7687;16798
7687;107224
7687;6551
7687;16888
7687;4596
7687;145031
7687;1651
7687;107190
7687;61155
7687;9522
7687;18823
7687;1677
7687;82439
7687;119626
7687;4467
7687;1792
7687;16145
7687;145
7687;4732
7687;107191
7687;48447
7687;2587
7687;5986
7687;9473
7687;543
7687;136498
7687;15003
7687;50844
7687;3712
7687;12239
7687;4247
7687;4177
7687;10189
7687;3666
7687;3153
7687;5613
7687;9851
7687;25046
7687;5643
7687;3705
7687;16295
7687;2926
7687;24888
7687;27
7687;26941
7687;4460
7687;185
7687;39283
7687;238
7687;1700
7687;3085
7687;5514
7687;19902
7687;5046
7687;3096
7687;15026
7687;9533
7687;4056
7687;2437
7687;3850
7687;21160
7687;299
7687;5212
1029562;8388
1029562;720
1029562;16269
1029562;238
1029562;2726
1029562;4220
1029562;11756
1029562;27827
1029562;320
1029562;368
1029562;15524
1029562;2428
1029562;43708
1029562;3515
1029562;2442
1029562;716
1029562;15409
1029562;711
1029562;29693
1029562;6551
1029562;54
1029562;18683
1029562;1359
1029562;75981
1029562;5046
1029562;1680
1029562;19440
1029562;13212
1029562;5902
1029562;2997
1029562;33591
1029562;4115
1029562;9486
1029562;17443
1029562;1914
1029562;17062
1029562;17761
1029562;524
1029562;28980
1029562;3012
1029562;244
1029562;276
1029562;10641
1029562;3711
1029562;4959
1029562;1664
1029562;18477
1029562;15661
1029562;20215
1029562;3103
1029562;84269
1029562;6421
1029562;470
1029562;3137
1029562;1804
1029562;99
1029562;7471
1029562;64
1029562;3961
1029562;3445
1029562;380
1029562;3566
1029562;1547
1029562;24392
1029562;2975
1029562;391
1029562;35098
1029562;1602
1029562;17148
1029562;1807
1029562;4366
1029562;2253
1029562;722
1029562;627
1029562;1899
1029562;3659
1029562;20457
1029562;1793
1029562;2952
1029562;43809
1029562;6234
1029562;222474
1029562;147095
1029562;30085
1029562;2762
1029562;17370
1029562;66559
1029562;9810
1029562;2950
1029562;4843
1029562;3695
1029562;19869
1029562;21432
1029562;56556
1029562;17701
1029562;2999
1029562;27100
1029562;18090
1029562;38149
1029562;21088
1029562;4639
1029562;4614
1029562;15824
1029562;20041
1029562;69133
1029562;30852
1029562;2941
1029562;16900
1029562;2787
1029562;3951
1029562;82876
1029562;16776
1029562;20487
1029562;259
1029562;4791
1029562;2616
1029562;2558
1029562;6773
1029562;175430
1029562;15920
1029562;543
1029562;1998
1029562;2596
1029562;17480
1029562;292164
1029562;728
1029562;3010
1029562;16479
1029562;245
1029562;1825
1029562;6904
1029562;16480
1029562;2732
1029562;493
1029562;6722
1029562;20540
1029562;6123
1029562;2968
1029562;2123
1029562;2487
1029562;16619
1029562;171623
1029562;32828
1029562;18044
1029562;61155
1029562;155
1029562;1258
1029562;6943
1029562;2932
1029562;16574
1029562;7009
1029562;5564
1029562;18608
1029562;100518
1029562;49755
1029562;10461
1029562;4352
1029562;7916
1029562;177
1029562;2954
1029562;70964
1029562;17417
1029562;5177
1029562;2938
1029562;20289
1029562;7291
1029562;4760
1029562;10707
1029562;132
1029562;20562
1029562;42850
1029562;4600
1029562;15557
1029562;112254
1029562;704
1029562;9475
1029562;44252
1029562;5619
1029562;1681
1029562;9882
1029562;11485
1029562;12189
1029562;507
1029562;17717
1029562;49
1029562;5285
1029562;3019
1029562;15481
1029562;26038
1029562;9582
1029562;18765
1029562;2983
1029562;4161
1029562;55565
1029562;16229
1029562;24480
1029562;66401
